LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
893,4394,140922,Secondary,84,25,32,76.6,17.2,25.9,17.2,"£42,210"
893,4396,123570,Secondary,64,25,19,56,17.6,16.4,15,"£42,756"
893,4403,123573,Secondary,74,39,25,69.6,27.1,21.8,17.5,"£41,227"
893,4410,123577,Secondary,35,20,11,32.8,14.1,9.5,17.4,"£41,054"
893,4412,141451,Secondary,38,22,13,33.5,14,9.2,16.4,"£39,981"
893,4423,123580,Secondary,66,17,11,61.1,12.1,9.8,13,"£38,914"
893,4427,142153,Secondary,60,26,23,54.1,17.2,18.2,16.9,"£40,777"
893,4437,136979,Secondary,106,11,49,102.9,8.8,43.7,14.2,"£39,391"
893,4500,139143,Secondary,36,15,21,27.6,8.9,14,19.5,"£42,017"
893,4501,144435,Secondary,45,22,15,38.5,16.1,11.3,15.2,"£41,401"
893,4503,123589,Secondary,86,34,35,77.4,18.7,26.7,15.9,"£40,602"
893,5202,145793,Primary,16,14,7,12,6.6,4.2,13,"£38,477"
893,5203,144460,Primary,13,15,5,13,10.7,4,20.7,"£38,153"
893,5204,135787,Primary,19,38,3,16.8,18.1,1.6,26.8,"£38,980"
893,5205,135788,Primary,14,17,1,12.1,10.2,0.8,25.2,"£39,701"
893,5206,135789,Primary,17,32,4,15,11.9,2.8,25.6,"£40,690"
893,5207,135790,Primary,5,6,2,5,3.9,0.8,22.9,"£39,294"
893,5401,137336,Secondary,46,23,21,39.6,18.8,15.5,18,"£42,119"
894,2000,141699,Primary,8,8,2,6.8,5.5,1.5,22.5,"£38,781"
894,2002,142785,Primary,10,11,4,8.9,7.9,3.2,24.3,"£37,954"
894,2004,145745,Primary,20,21,10,17.7,17,8.6,24.1,"£40,956"
894,2033,123358,Primary,4,6,2,3,2.4,1.2,13.3,"£40,601"
894,2034,144942,Primary,24,28,3,22.4,19.3,2.6,24,"£37,665"
894,2038,123362,Primary,7,7,5,6.2,4.6,2.2,21.8,"£43,166"
894,2041,123364,Primary,12,9,6,10.8,5.3,4.1,18.8,"£42,268"
894,2051,123370,Primary,7,11,3,6.1,4.5,1,22.6,"£50,623"
894,2061,123377,Primary,19,20,8,18.4,11.7,4.6,22.9,"£37,645"
894,2062,123378,Primary,10,9,2,8,6.1,1.1,27,"£43,111"
894,2074,123384,Primary,10,27,2,10,13.1,1.6,23.1,"£39,708"
894,2112,123404,Primary,11,12,2,11,9.4,1.8,22.3,"£38,266"
894,2116,123406,Primary,11,7,10,10.8,5.9,6.6,20.4,"£38,685"
894,2128,123415,Primary,6,16,3,5.6,9.7,1.2,19.9,"£42,398"
894,2153,123429,Primary,12,16,3,10.7,11.6,2.8,24.2,"£45,151"
894,2158,123433,Primary,22,38,4,20.2,28.1,3.3,20.9,"£38,097"
894,2168,123438,Primary,13,18,3,12.3,11.4,2.6,25.6,"£37,953"
894,2172,123441,Primary,17,24,4,15,15.5,3.8,24.1,"£39,080"
894,2174,123443,Primary,20,20,6,19.4,12.8,4.8,21,"£36,010"
894,2175,123444,Primary,13,25,2,12.8,13.6,1.6,20.1,"£32,798"
894,2176,123445,Primary,8,17,4,7.8,13.3,2.9,28.7,"£41,572"
894,2181,136439,Primary,17,23,16,16,15.4,6.5,27.2,"£39,113"
894,2190,123450,Primary,20,28,9,17.1,17.8,5.1,24.6,"£40,894"
894,2191,123451,Primary,11,13,6,11,9,2.8,22.7,"£37,003"
894,2195,123453,Primary,19,14,7,16.8,11.1,4.6,24.7,"£42,141"
894,2200,123456,Primary,21,23,6,18.8,14.2,4.4,22,"£35,990"
894,2201,146026,Primary,16,25,9,14.7,15.1,5.7,30.5,"£38,075"
894,2202,132086,Primary,20,32,6,19,25,4.9,21.6,"£35,071"
894,2203,133300,Primary,23,22,28,19.2,15.7,17.9,24.2,"£36,844"
894,2204,133757,Primary,22,24,6,20,18,5.2,21.5,"£36,441"
894,3035,123473,Primary,15,8,4,14.3,4.4,2.6,15.4,"£33,165"
894,3039,123474,Primary,12,9,2,8.8,5.7,1.5,23,"£39,167"
894,3082,123489,Primary,17,12,3,14.7,7.7,1.7,24.5,"£38,975"
894,3091,123496,Primary,3,5,2,3,3.1,1.2,27.3,"£36,697"
894,3109,123505,Primary,7,7,2,6.4,3.8,1.1,23.9,"£41,008"
894,3129,123520,Primary,17,14,2,16.2,9.7,1.9,16.9,"£34,327"
894,3152,123526,Primary,20,26,11,18.4,14.7,6.4,20.2,"£40,266"
894,3154,123527,Primary,26,24,9,24.8,15.8,5.1,21.9,"£40,221"
894,3157,123530,Primary,21,18,4,13.6,9,3.5,29.5,"£41,232"
894,3315,123542,Primary,8,17,2,7.8,7.3,1.7,27.4,"£49,616"
894,3352,123552,Primary,12,12,8,8.6,7.8,3.2,22,"£33,796"
